symbol,side,news,is_buy
AAL,B,50,Sell
AAL,B,100,Sell
AAL,S,0,Sell
ADBE,B,50,Sell
ADBE,B,100,Sell
ADBE,S,0,Sell
ADP,B,100,Sell
ADP,S,0,Sell
AKAM,S,0,Sell
AMGN,B,100,Sell
AMGN,S,0,Sell
AMZN,B,50,Sell
AMZN,S,0,Sell
BIIB,B,50,Sell
BIIB,B,100,Sell
BIIB,S,0,Sell
CHKP,B,50,Sell
CHKP,B,100,Sell
CHKP,S,0,Sell
CHTR,S,0,Sell
CTSH,B,100,Sell
CTSH,S,0,Sell
DISCA,S,0,Sell
EA,B,100,Sell
EA,S,0,Sell
FB,B,50,Sell
FB,B,100,Sell
FB,S,0,Sell
HSIC,B,50,Sell
HSIC,B,100,Sell
HSIC,S,0,Sell
ILMN,B,50,Sell
ILMN,S,0,Sell
INTC,B,50,Sell
INTC,B,100,Sell
INTC,S,0,Sell
ADP,S,50,Nothing
ADP,B,50,Nothing
AKAM,B,50,Nothing
AKAM,B,100,Nothing
AMGN,S,50,Nothing
AMGN,B,50,Nothing
AMGN,S,100,Nothing
AMZN,B,100,Nothing
BBBY,S,100,Nothing
BMRN,S,50,Nothing
CA,S,50,Nothing
CA,S,100,Nothing
CHKP,B,50,Nothing
CHKP,B,100,Nothing
CHTR,B,50,Nothing
CHTR,B,100,Nothing
CMCSA,S,100,Nothing
CSCO,S,50,Nothing
CSCO,S,100,Nothing
CTSH,B,50,Nothing
DISCA,S,50,Nothing
DISCA,B,50,Nothing
DISCA,S,100,Nothing
DISCA,B,100,Nothing
DISCK,S,50,Nothing
EA,B,50,Nothing
FB,B,50,Nothing
ILMN,S,50,Nothing
ILMN,B,100,Nothing
INTU,S,100,Nothing
ADI,S,50,Buy
ADI,S,100,Buy
ADI,B,0,Buy
ADP,S,100,Buy
ADP,B,0,Buy
AMGN,B,0,Buy
BBBY,S,50,Buy
BBBY,B,0,Buy
BMRN,S,100,Buy
BMRN,B,0,Buy
CA,B,0,Buy
CMCSA,S,50,Buy
CMCSA,B,0,Buy
COST,S,50,Buy
COST,S,100,Buy
COST,B,0,Buy
CSCO,B,0,Buy
CTSH,S,50,Buy
CTSH,S,100,Buy
CTSH,B,0,Buy
DISCA,B,0,Buy
DISCK,S,100,Buy
DISCK,B,0,Buy
DLTR,S,50,Buy
DLTR,S,100,Buy
DLTR,B,0,Buy
EA,S,50,Buy
EA,S,100,Buy
EA,B,0,Buy
EXPE,S,50,Buy
EXPE,S,100,Buy
EXPE,B,0,Buy
ILMN,S,100,Buy
ILMN,B,0,Buy
INCY,S,50,Buy
INCY,S,100,Buy
INCY,B,0,Buy
INTU,S,50,Buy
INTU,B,0,Buy
ISRG,S,50,Buy
ISRG,S,100,Buy
ISRG,B,0,Buy
