symbol,side,news,price
AAL,B,0,42.631818
AAPL,B,0,127.081923
ADBE,B,0,111.569615
ADI,B,0,76.145385
ADP,B,0,96.795
ADSK,B,0,81.226364
AKAM,B,0,70.3025
ALXN,B,0,133.674231
AMAT,B,0,33.585833
AMGN,B,0,159.894762
AMZN,B,0,831.705667
ATVI,B,0,39.238696
AVGO,B,0,205.365833
BBBY,B,0,40.422609
BIDU,B,0,173.366207
BIIB,B,0,283.374167
BMRN,B,0,88.70375
CA,B,0,32.047727
CELG,B,0,118.02125
CERN,B,0,55.081667
CHKP,B,0,98.456071
CHTR,B,0,325.3248
CMCSA,B,0,76.869524
COST,B,0,162.632174
CSCO,B,0,31.586154
CSX,B,0,45.164211
CTRP,B,0,44.40125
CTSH,B,0,51.270345
CTXS,B,0,69.685714
DISCA,B,0,29.788696
DISCK,B,0,27.334359
DISH,B,0,62.885
DLTR,B,0,75.976071
EA,B,0,83.860385
EBAY,B,0,30.912
ESRX,B,0,69.618571
EXPE,B,0,119.19
FAST,B,0,50.178056
FB,B,0,133.310952
FISV,B,0,103.976522
FOX,B,0,29.426562
FOXA,B,0,30.856563
GILD,B,0,73.597
GOOG,B,0,793.8232
GOOGL,B,0,815.363462
HSIC,B,0,159.992609
ILMN,B,0,162.019091
INCY,B,0,125.61303
INTC,B,0,35.318148
INTU,B,0,119.758
ISRG,B,0,696.816296
AAL,B,50,41.153333
AAPL,B,50,124.405
ADBE,B,50,112.073333
ADI,B,50,73.295
ADP,B,50,95.36
ADSK,B,50,81.216667
AKAM,B,50,70.2925
ALXN,B,50,133.498333
AMAT,B,50,31.28
AMGN,B,50,159.685
AMZN,B,50,832.256667
ATVI,B,50,40.458333
AVGO,B,50,205.305
BBBY,B,50,40.533333
BIDU,B,50,172.173333
BIIB,B,50,283.856
BMRN,B,50,88.352
CA,B,50,31.11
CELG,B,50,117.3075
CERN,B,50,53.9125
CHKP,B,50,98.595
CHTR,B,50,325.2
CMCSA,B,50,76.5275
COST,B,50,162.406
CSCO,B,50,31.734
CSX,B,50,47.33
CTRP,B,50,45.034
CTSH,B,50,50.498
CTXS,B,50,68.7175
DISCA,B,50,28.01
DISCK,B,50,26.65
DISH,B,50,62.595455
DLTR,B,50,74.975
EA,B,50,83.443333
EBAY,B,50,32.06
ESRX,B,50,67.223333
EXPE,B,50,120.1525
FAST,B,50,50.09
FB,B,50,133.3225
FISV,B,50,105.36
FOX,B,50,27.9025
FOXA,B,50,29.036667
GILD,B,50,72.806667
